EOS space usage on 2018-07-19 10:21:45
    User      Used Physical     Used Logical    Avail Physical   Avail Logical    Used Files  Avail Files        Space/Files   
------------ ---------------- ---------------- ---------------- ---------------- ------------ ------------    -----------------
ALL                   1.55 PB        786.40 TB          7.13 PB          3.56 PB     29618639    856060000    ok/ok
sakoay               27.68 TB         13.84 TB         11.00 TB          5.50 TB        45130       500000    exceeded/ok
meridian             27.11 TB         13.56 TB          4.29 TB          2.15 TB        20194       500000    exceeded/ok
abdollah             24.86 TB         12.43 TB         26.00 TB         13.00 TB       108508       500000    warning/ok
sethzenz             18.14 TB          9.07 TB         21.47 TB         10.74 TB        11417       500000    ok/ok
rclsa                17.04 TB          8.52 TB         21.99 TB         11.00 TB       104958       500000    ok/ok
jzabel               16.20 TB          8.10 TB         20.00 TB         10.00 TB        10560       500000    ok/ok
snandan              16.04 TB          8.02 TB         16.00 TB          8.00 TB       115873       500000    exceeded/ok
mather               13.98 TB          6.99 TB         20.00 TB         10.00 TB        49061       500000    ok/ok
aattikis             13.81 TB          6.91 TB         24.00 TB         12.00 TB        33333       500000    ok/ok
ptan                 10.34 TB          6.84 TB         11.00 TB          5.50 TB       107389       500000    warning/ok
fgior8               13.24 TB          6.62 TB         14.00 TB          7.00 TB        30087       500000    warning/ok
agarabag             13.19 TB          6.60 TB         13.19 TB          6.60 TB       181282       500000    exceeded/ok
zwang4               11.99 TB          6.00 TB         12.00 TB          6.00 TB       102408       500000    exceeded/ok
tote                 11.55 TB          5.78 TB         12.00 TB          6.00 TB       230888       500000    warning/ok
hogul                11.36 TB          5.68 TB         12.74 TB          6.37 TB        56928       500000    ok/ok
jluo                 11.14 TB          5.57 TB         12.00 TB          6.00 TB       482883       500000    warning/warning
lhx                  11.13 TB          5.57 TB         11.00 TB          5.50 TB        50655       500000    exceeded/ok
skyria               11.00 TB          5.50 TB         11.00 TB          5.50 TB        30203       500000    exceeded/ok
jrajhans             10.98 TB          5.49 TB         11.00 TB          5.50 TB         1525       500000    exceeded/ok
oneogi               10.89 TB          5.45 TB         14.00 TB          7.00 TB        16668       500000    ok/ok
algomez              10.80 TB          5.40 TB         11.00 TB          5.50 TB       128977       500000    warning/ok
lowette               5.33 TB          5.33 TB         11.00 TB          5.50 TB        17684       500000    ok/ok
yik                  10.53 TB          5.27 TB         11.00 TB          5.50 TB       120973      5000000    warning/ok
skonstan             10.40 TB          5.20 TB         11.00 TB          5.50 TB        24648       500000    warning/ok
sapta                 9.91 TB          5.19 TB         10.00 TB          5.00 TB        55592       500000    exceeded/ok
uplegger             10.25 TB          5.13 TB         11.00 TB          5.50 TB       110810       500000    warning/ok
ptohos                9.90 TB          4.95 TB         10.00 TB          5.00 TB        22473       500000    exceeded/ok
jtsai                 9.90 TB          4.95 TB         10.00 TB          5.00 TB        96798       500000    warning/ok
mullin                9.64 TB          4.82 TB         10.04 TB          5.02 TB        21909       500000    warning/ok
sudha                 9.60 TB          4.80 TB         10.74 TB          5.37 TB        16225       500000    ok/ok
tonjes                9.46 TB          4.73 TB         10.00 TB          5.00 TB        11786       500000    warning/ok
iraklis               9.40 TB          4.70 TB         10.74 TB          5.37 TB         5089       500000    ok/ok
pdong                 8.99 TB          4.50 TB         12.00 TB          6.00 TB        34327       500000    ok/ok
tarasc                8.94 TB          4.47 TB          4.00 TB          2.00 TB         1558      1000000    exceeded/ok
lovedeep              8.83 TB          4.41 TB         10.00 TB          5.00 TB        98538       500000    ok/ok
mkolosov              8.45 TB          4.22 TB         10.00 TB          5.00 TB       181283       500000    ok/ok
cmsdas                8.30 TB          4.15 TB         20.00 TB         10.00 TB         7464       500000    ok/ok
aman30                8.27 TB          4.14 TB          8.59 TB          4.29 TB       152704       500000    warning/ok
hqu                   8.03 TB          4.01 TB         10.00 TB          5.00 TB        36074       500000    ok/ok
nitish                7.99 TB          4.00 TB         10.74 TB          5.37 TB        49805       500000    ok/ok
askew                 7.97 TB          3.99 TB         11.00 TB          5.50 TB        17546       500000    ok/ok
godshalk              3.98 TB          3.98 TB          4.29 TB          2.15 TB         5579       500000    warning/ok
duong                 3.93 TB          3.93 TB          4.29 TB          2.15 TB       136236       500000    warning/ok
jshilpi               7.72 TB          3.92 TB         10.00 TB          5.00 TB        69885       500000    ok/ok
griley4               7.76 TB          3.88 TB          8.00 TB          4.00 TB         3037       500000    warning/ok
asroy                 7.30 TB          3.65 TB          8.80 TB          4.40 TB        95958       500000    ok/ok
abarker               7.21 TB          3.61 TB          8.00 TB          4.00 TB         9403       500000    warning/ok
ohindric              7.01 TB          3.51 TB          8.00 TB          4.00 TB        59154       500000    ok/ok
broozbah              7.01 TB          3.50 TB          7.00 TB          3.50 TB       247494       500000    exceeded/ok
smalik                6.99 TB          3.50 TB         11.00 TB          5.50 TB        16286       500000    ok/ok
vdutta                6.98 TB          3.49 TB         10.00 TB          5.00 TB        58337       500000    ok/ok
